id,nom,ville,page,code_postal
331,CENTRE SOCIAL GERMAINE TILLION - KREMLIN BICETRE, Kremlin,8,94270 
332,"CENTRE SOCIAL LOUISE MICHEL, GUENANGE", Guénange,8,57310 
333,MAISON DE LA CULTURE ET DES LOISIRS DE LA ROCHE POSAY, Roche,8,86270 
334,MJC les Passerelles -  CENTRE SOCIAL AIME CESAIRE, Viry,8,91170 
336,CS FRESNOY MACKELLERIE, Roubaix,8,59100 
339,Centre social et culturel d'Heyrieux, Heyrieux,8,38540 
340,C S CENTRE VILLE CAMBRAI, Cambrai,8,59400 
341,ESPACE ALOUETTE ANIMATION, Pessac,8,33600 
342,CENTRE SOCIAL   La CASCADE , Claix,8,38640 
344,CENTRE SOCIAL ET CULTUREL LES ACACIAS, Nanterre,8,92000 
345,AIRVAUDAIS - VAL DU THOUET, Airvault,8,79600 
346,Arts et Loisirs ARLAC, Mérignac,8,33700 
347,CENTRE SOCIAL MOULIN A VENT, Roanne,8,42300 
348,CENTRE SOCIAL ET CULTUREL DE LA PLAINE D'OZON, Châtellerault,8,86100 
349,CENTRE SOCIAL MONTREUIL - VAUBAN, Versailles,8,78000 
350,MAISON DU CRET DE ROCH, Saint,9,42000 
351,CS AIRE DE STAT. SAINT MENET, MARSEILLE 11EME ARRONDISS,9,13011 
352,Maison de Quartier et de la Citoyenneté GEORGES BRASSENS, Bondy,9,93140 
354,CENTRE SOCIAL DE RODEZ, Rodez,9,12000 
355,Maison des Habitants Les Baladins, Grenoble,9,38100 
356,CENTRE LAIQUE TALANGEOIS D'EDUCATION PERMANENTE, Talange,9,57525 
357,MAISON SOCIALE CYPRIAN LES BROSSES, Villeurbanne,9,69100 
358,Espace Social Valbenoite Centre 2, Saint,9,42100 
359,LA FERME DU PARC DES MEUNIERS, Villeneuve,9,94290 
360,ADAV - Antenne GDV de Libourne, Libourne,9,33500 
361,CENTRE SOCIAL et  CULTUREL DE COURS, Cours,9,69470 
362,MAISON DE L'ILE JEANTY, Dunkerque,9,59140 
363,CENTRE SOCIAL ESPACE PART'AGES, Plérin,9,22190 
364,CS GP INTENCITE, Bordeaux,9,33300 
365,CS NELSON MANDELA, Port,9,13110 
366,Centre Social La Ruche, Ostricourt,9,59 162 
367,Maison de Quartier de Port Neuf / Centre Social Jean Benoit, Rochelle,9,17000 
368,CENTRE SOCIAL LE PLATEAU, Saint,9,22000 
369,CENTRE SOCIOCULTUREL Lucie Aubrac, Grand,9,38690 
370,CENTRE SOCIAL MONTAIGU, Melun,9,77000 
371,CENTRE SOCIAL CULTUREL ET SPORTIF DE HAUTE-CHARENTE, ,9,16270 
372,ESPACE SOCIO-CULTUREL HUBERTINE AUCLERT, Chelles,9,77500 
373,CENTRE SOCIAL DE DENAIN, Denain,9,59220 
374,CENTRE SOCIAL MALISSOL, Vienne,9,38200 
375,CENTRE SOCIAL ROANNE SUD EST BOURGOGNE, Roanne,9,42300 
376,Maison des habitants Josephine Baker, Taverny,10,95150 
377,Centre Social Vivaraize, Saint,10,42000 
379,CENTRE SOCIAL ALBERT SCHWEITZER, Magny,10,78114 
380,CENTRE RAOUL DAUTRY, Brive,10,19100 
381,CENTRE SOCIAL HISSEZ HAUT, Nanterre,10,92000 
382,CSC BASTIDE BENAUGE, Bordeaux,10,33100 
383,ASS DU CENTRE SOCIAL DES CINQ BONNIERS, Faches,10,59155 
384,Centre Social et Culturel Europe, Colombes,10,92700 
385,MJC-CENTRE SOCIAL DE RAMBOUILLET- L'Usine à Chapeaux, Rambouillet,10,78120 
386,"M.J.C. CENTRE SOCIAL J. PREVERT, DIEUZE", Dieuze,10,57260 
387,CENTRE SOCIAL LES HAUTES GARENNES, Palaiseau,10,91120 
388,CENTRE SOCIAL CHICO MENDES, Beaurains,10,62217 
389,MAISON DE QUARTIER LOUIS ARAGON, Saint,10,38400 
390,CSC Louise Michel, Asnières,10,92600 
391,CENTRE SOCIAL DE THIZY LES BOURGS, ,10,69240 
392,CENTRE SOCIO-CULTUREL  LES PICTONS, Marans,10,17230 
393,CENTRE SOCIAL ITINERANT  A L'UNISSON, Villeurbanne,10,69100 
394,ESPACE SOCIAL ET CITOYEN DE SAINTE VALERIE/ CROIX DE FER, Cahors,10,46000 
395,MAISON DE QUARTIER SAINT NICOLAS, Romans,10,26100 
397,CENTRE SOCIAL DE LA MAISON DU TEMPS LIBRE, Stains,10,93240 
398,CENTRE D ACTIVITES SOCIALES -TRAIT D'UNION, Combs,10,77380 
399,CENTRE SOCIAL SABLONS, Sarcelles,10,95200 
402,CSC LA CROIX DES OUCHES OMC MAISONS-ALFORT, Maisons,10,94700 
404,SOUCHE, Niort,10,79000 
405,CENTRE SOCIAL AGORA, Persan,10,95340 
406,CENTRE SOCIOCULTUREL DE KERCADO, Vannes,11,56000 
407,CENTRE SOCIAL DE MIREUIL LE PERTUIS, Rochelle,11,17000 
408,CS JEAN CARMET, Étampes,11,91150 
409,MAISON POUR TOUS -Centre Social -Jean Ferrat, Créteil,11,94000 
410,CENTRE SOCIAL J2P, PARIS 19EME ARRONDISSEMENT,11,75019 
411,CS MPT BELLE DE MAI, MARSEILLE 3EME ARRONDISSE,11,13003 
412,CENTRE SOCIAL ET CULTUREL LE NELUMBO, Andrézieux,11,42160 
413,CENTRE SOCIAL BERNARD DE JUSSIEU, Versailles,11,78000 
414,AGAESCC   -   MAISON COUSTE  -, Cachan,11,94230 
415,Association Boiffiers Bellevue centre social, Saintes,11,17100 
416,A.V.A.R.A.  FRESNES, Fresnes,11,94260 
418,CENTRE SOCIAL MUNICIPAL DE CARMAUX, Carmaux,11,81400 
419,CENTRE SOCIAL JACQUES BREL, Outreau,11,62230 
420,MAISON DE QUARTIER ST JACQUES, Grande,11,59760 
421,CENTRE SOCIAL ASSOCIATIF LES DOUCETTES, Garges,11,95140 
422,Maison Pour Tous de Kervénanec - centre social, Lorient,11,56000 
423,LA LUTECE .VALENTON, Valenton,11,94460 
424,CS LES ECONDEAUX, Épinay,11,93800 
